code,system
5755,gprdproduct
6601,gprdproduct
15328,gprdproduct
10180,gprdproduct
15880,gprdproduct
5759,gprdproduct
1489,gprdproduct
35742,gprdproduct
44494,gprdproduct
52632,gprdproduct
64735,gprdproduct
44461,gprdproduct
14792,gprdproduct
49693,gprdproduct
18600,gprdproduct
42515,gprdproduct
3387,gprdproduct
18437,gprdproduct
13582,gprdproduct
37692,gprdproduct
9268,gprdproduct
51201,gprdproduct
10076,gprdproduct
10946,gprdproduct
11375,gprdproduct
52174,gprdproduct
6563,gprdproduct
206,gprdproduct
15298,gprdproduct
37033,gprdproduct
5343,gprdproduct
37037,gprdproduct
11882,gprdproduct
18901,gprdproduct
14580,gprdproduct
20895,gprdproduct
986,gprdproduct
3040,gprdproduct
988,gprdproduct
2140,gprdproduct
18502,gprdproduct
18311,gprdproduct
37697,gprdproduct
32930,gprdproduct
10126,gprdproduct
6793,gprdproduct
11672,gprdproduct
19145,gprdproduct
4977,gprdproduct
6082,gprdproduct
18383,gprdproduct
15194,gprdproduct
4721,gprdproduct
20155,gprdproduct
11430,gprdproduct
20135,gprdproduct
15869,gprdproduct
18218,gprdproduct
52441,gprdproduct
51688,gprdproduct
56480,gprdproduct
4393,gprdproduct
2729,gprdproduct
5195,gprdproduct
6030,gprdproduct
16443,gprdproduct
64580,gprdproduct
10593,gprdproduct
6603,gprdproduct
7381,gprdproduct
12907,gprdproduct
4956,gprdproduct
13146,gprdproduct
2115,gprdproduct
1268,gprdproduct
7388,gprdproduct
6622,gprdproduct
9901,gprdproduct
38965,gprdproduct
21757,gprdproduct
3530,gprdproduct
4511,gprdproduct
65810,gprdproduct
10096,gprdproduct
56081,gprdproduct
26049,gprdproduct
58516,gprdproduct
3553,gprdproduct
2397,gprdproduct
6177,gprdproduct
9649,gprdproduct
31330,gprdproduct
29449,gprdproduct
1922,gprdproduct
39622,gprdproduct
14596,gprdproduct
24764,gprdproduct
14569,gprdproduct
16997,gprdproduct
14027,gprdproduct
11157,gprdproduct
11511,gprdproduct
11363,gprdproduct
66575,gprdproduct
41390,gprdproduct
1014,gprdproduct
57590,gprdproduct
1183,gprdproduct
2766,gprdproduct
64995,gprdproduct
13990,gprdproduct
5012,gprdproduct
12788,gprdproduct
14950,gprdproduct
12807,gprdproduct
9234,gprdproduct
66434,gprdproduct
4244,gprdproduct
7001,gprdproduct
2457,gprdproduct
24917,gprdproduct
9413,gprdproduct
12713,gprdproduct
52306,gprdproduct
8770,gprdproduct
49985,gprdproduct
2452,gprdproduct
65009,gprdproduct
2208,gprdproduct
8837,gprdproduct
2977,gprdproduct
17475,gprdproduct
20888,gprdproduct
51978,gprdproduct
57514,gprdproduct
52480,gprdproduct
49694,gprdproduct
4207,gprdproduct
58035,gprdproduct
4909,gprdproduct
3002,gprdproduct
4328,gprdproduct
56056,gprdproduct
58575,gprdproduct
2111,gprdproduct
50200,gprdproduct
66404,gprdproduct
390,gprdproduct
14234,gprdproduct
15100,gprdproduct
19487,gprdproduct
2728,gprdproduct
56468,gprdproduct
57548,gprdproduct
54425,gprdproduct
16437,gprdproduct
6059,gprdproduct
22335,gprdproduct
18009,gprdproduct
5005,gprdproduct
6538,gprdproduct
7251,gprdproduct
12953,gprdproduct
55551,gprdproduct
10967,gprdproduct
38932,gprdproduct
1488,gprdproduct
38940,gprdproduct
38935,gprdproduct
1873,gprdproduct
60637,gprdproduct
51546,gprdproduct
2262,gprdproduct
62530,gprdproduct
2141,gprdproduct
5100,gprdproduct
57562,gprdproduct
14812,gprdproduct
9976,gprdproduct
5292,gprdproduct
9047,gprdproduct
12773,gprdproduct
4882,gprdproduct
4466,gprdproduct
4467,gprdproduct
8465,gprdproduct
19135,gprdproduct
8162,gprdproduct
35958,gprdproduct
28230,gprdproduct
10052,gprdproduct
4326,gprdproduct
3179,gprdproduct
52813,gprdproduct
